epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3175.68,1.22947,0.58103,0.88162,0.87123,0.61189,0.65724,0.40467,1.21633,0.56928,0.91259,0.0005941,0.0005941,0.0005941
43,3251,1.2326,0.59654,0.88262,0.81718,0.63325,0.66665,0.41915,1.18815,0.55145,0.9056,0.0005842,0.0005842,0.0005842
44,3327.54,1.21875,0.58202,0.87749,0.75954,0.64771,0.67471,0.40036,1.24751,0.59787,0.91821,0.0005743,0.0005743,0.0005743
45,3404.2,1.23095,0.59033,0.87369,0.75199,0.60845,0.6336,0.38678,1.2476,0.57928,0.90496,0.0005644,0.0005644,0.0005644
46,3481.53,1.22287,0.57964,0.88212,0.809,0.62032,0.66679,0.41201,1.19317,0.56123,0.9061,0.0005545,0.0005545,0.0005545
47,3557.8,1.2014,0.57749,0.87616,0.84765,0.60774,0.67128,0.40732,1.22074,0.56081,0.91124,0.0005446,0.0005446,0.0005446
48,3635.38,1.21036,0.58416,0.88082,0.79487,0.6162,0.65922,0.40623,1.21913,0.56118,0.91338,0.0005347,0.0005347,0.0005347
49,3712.54,1.17943,0.5599,0.8773,0.80983,0.62688,0.66739,0.40635,1.20907,0.56744,0.91488,0.0005248,0.0005248,0.0005248
50,3789.91,1.1965,0.57219,0.87768,0.8467,0.64414,0.67868,0.41459,1.21097,0.57207,0.91213,0.0005149,0.0005149,0.0005149
51,3866.4,1.19114,0.56041,0.87534,0.8828,0.6268,0.67949,0.41082,1.23511,0.57298,0.91113,0.000505,0.000505,0.000505
52,3943.06,1.16516,0.55041,0.86751,0.80399,0.66028,0.68655,0.41338,1.21264,0.55104,0.91597,0.0004951,0.0004951,0.0004951
53,4019.89,1.16824,0.54922,0.86824,0.78839,0.63757,0.66881,0.4128,1.18106,0.556,0.91016,0.0004852,0.0004852,0.0004852
